"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"LTB","MAP3K14","Q06643","Q99558","9606.ENSP00000410481","9606.ENSP00000482657"
"LTB","MAP3K5","Q06643","Q99683","9606.ENSP00000410481","9606.ENSP00000351908"
"LTB","MAP3K5","Q06643","Q99683","9606.ENSP00000410481","9606.ENSP00000351908"
"LTB","RIPK1","Q06643","Q13546","9606.ENSP00000410481","9606.ENSP00000259808"
"LTB","TNFRSF1A","Q06643","P19438","9606.ENSP00000410481","9606.ENSP00000162749"
"LTB","TNFRSF1B","Q06643","P20333","9606.ENSP00000410481","9606.ENSP00000365435"
"LTB","TRADD","Q06643","Q15628","9606.ENSP00000410481","9606.ENSP00000341268"
"LTB","TRAF2","Q06643","Q92844","9606.ENSP00000410481","9606.ENSP00000259075"
"LTB","TRAF2","Q06643","Q92844","9606.ENSP00000410481","9606.ENSP00000259075"
"MADD","MAP3K5","Q8WXG6","Q99683","9606.ENSP00000310933","9606.ENSP00000351908"
"MADD","MAP3K5","Q8WXG6","Q99683","9606.ENSP00000310933","9606.ENSP00000351908"
"MADD","TNFRSF1A","Q8WXG6","P19438","9606.ENSP00000310933","9606.ENSP00000162749"
"MADD","TNF","Q8WXG6","P01375","9606.ENSP00000310933","9606.ENSP00000398698"
"MAP2K3","MAPK1","P46734","P28482","9606.ENSP00000345083","9606.ENSP00000215832"
"MAP2K3","MAPK1","P46734","P28482","9606.ENSP00000345083","9606.ENSP00000215832"
"MAP2K3","MAPK3","P46734","P27361","9606.ENSP00000345083","9606.ENSP00000263025"
"MAP2K3","MAPK3","P46734","P27361","9606.ENSP00000345083","9606.ENSP00000263025"
"MAP2K4","MAPK8","P45985","P45983","9606.ENSP00000410402","9606.ENSP00000378974"
"MAP2K4","MAPK8","P45985","P45983","9606.ENSP00000410402","9606.ENSP00000378974"
"MAP2K4","MAPK9","P45985","P45984","9606.ENSP00000410402","9606.ENSP00000394560"
"MAP2K4","MAPK9","P45985","P45984","9606.ENSP00000410402","9606.ENSP00000394560"
"MAP2K7","MAPK8","O14733","P45983","9606.ENSP00000381070","9606.ENSP00000378974"
"MAP2K7","MAPK8","O14733","P45983","9606.ENSP00000381070","9606.ENSP00000378974"
"MAP2K7","MAPK9","O14733","P45984","9606.ENSP00000381070","9606.ENSP00000394560"
"MAP2K7","MAPK9","O14733","P45984","9606.ENSP00000381070","9606.ENSP00000394560"
"MAP3K14","CHUK","Q99558","O15111","9606.ENSP00000482657","9606.ENSP00000359424"
"MAP3K14","IKBKB","Q99558","O14920","9606.ENSP00000482657","9606.ENSP00000430684"
"MAP3K1","MAP2K4","Q13233","P45985","9606.ENSP00000382423","9606.ENSP00000410402"
"MAP3K1","MAP2K4","Q13233","P45985","9606.ENSP00000382423","9606.ENSP00000410402"
"MAP3K1","MAP2K7","Q13233","O14733","9606.ENSP00000382423","9606.ENSP00000381070"
"MAP3K1","MAP2K7","Q13233","O14733","9606.ENSP00000382423","9606.ENSP00000381070"
"MAP3K5","MAP2K3","Q99683","P46734","9606.ENSP00000351908","9606.ENSP00000345083"
"MAP3K5","MAP2K3","Q99683","P46734","9606.ENSP00000351908","9606.ENSP00000345083"
"MAP3K5","MAP2K4","Q99683","P45985","9606.ENSP00000351908","9606.ENSP00000410402"
"MAP3K5","MAP2K4","Q99683","P45985","9606.ENSP00000351908","9606.ENSP00000410402"
"MAP3K5","MAP2K7","Q99683","O14733","9606.ENSP00000351908","9606.ENSP00000381070"
"MAP3K5","MAP2K7","Q99683","O14733","9606.ENSP00000351908","9606.ENSP00000381070"
"MAP4K2","MAP3K1","Q12851","Q13233","9606.ENSP00000294066","9606.ENSP00000382423"
"MAP4K2","MAP3K1","Q12851","Q13233","9606.ENSP00000294066","9606.ENSP00000382423"
"MAP4K2","MAP3K5","Q12851","Q99683","9606.ENSP00000294066","9606.ENSP00000351908"
"MAP4K2","MAP3K5","Q12851","Q99683","9606.ENSP00000294066","9606.ENSP00000351908"
